Name,Quantities,Kcal,Protein Content (g),Veg/Non_Veg,subcode,Sub_Type,Type,Code
AJWAIN WATER,250ML,0,0,Veg,A1,"Teas, Coffee, and Milk-Based Beverages",Breakfast,A
AJWAIN+SAUNF WATER,250ML,0,0,Veg,A1,"Teas, Coffee, and Milk-Based Beverages",Breakfast,A
ALKALINE WATER,250ML,10,0,Veg,A1,"Teas, Coffee, and Milk-Based Beverages",Breakfast,A
AMLA WATER,250ML,0,0,Veg,A1,"Teas, Coffee, and Milk-Based Beverages",Breakfast,A
APPLE CIDER  VINIGER,300ML,0,0,Veg,A1,"Teas, Coffee, and Milk-Based Beverages",Breakfast,A
BARLEY WATER,250ML,0,0,Veg,A1,"Teas, Coffee, and Milk-Based Beverages",Breakfast,A
BARLEY WATER,300ML,0,0,Veg,A1,"Teas, Coffee, and Milk-Based Beverages",Breakfast,A
BLACK COFFEE ,250ML,0,10,Veg,A1,"Teas, Coffee, and Milk-Based Beverages",Breakfast,A
BLACK MASALA TEA ,200ML,0,0,Veg,A1,"Teas, Coffee, and Milk-Based Beverages",Breakfast,A
BLACK TEA,200ML,0,0,Veg,A1,"Teas, Coffee, and Milk-Based Beverages",Breakfast,A
BUTTERMILK,300ML,122,10,Veg,A1,"Teas, Coffee, and Milk-Based Beverages",Breakfast,A
CHIA SEED WATER,300ML,25,0,Veg,A1,"Teas, Coffee, and Milk-Based Beverages",Breakfast,A
CLOVE+LEMON WATER,250ML,0,0,Veg,A1,"Teas, Coffee, and Milk-Based Beverages",Breakfast,A
COFFEE WITH SKIM MILK AND WITHOUT SUGAR,100ML,36,3.4,Veg,A1,"Teas, Coffee, and Milk-Based Beverages",Breakfast,A
CURD,100ML,98,11,Veg,A1,"Teas, Coffee, and Milk-Based Beverages",Breakfast,A
DALCHINI WATER,250ML,0,0,Veg,A1,"Teas, Coffee, and Milk-Based Beverages",Breakfast,A
DALCHINI+GINGER WATER,250ML,0,0,Veg,A1,"Teas, Coffee, and Milk-Based Beverages",Breakfast,A
DETOX WATER,250ML,0,0,Veg,A1,"Teas, Coffee, and Milk-Based Beverages",Breakfast,A
ELAICHI WATER,300ML,0,0,Veg,A1,"Teas, Coffee, and Milk-Based Beverages",Breakfast,A
FENUGREEK+ SAUNF WATER,250ML,0,20,Veg,A1,"Teas, Coffee, and Milk-Based Beverages",Breakfast,A
FLEXSEED WATER,250ML,0,0,Veg,A1,"Teas, Coffee, and Milk-Based Beverages",Breakfast,A
GINGER TEA,200ML,0,0,Veg,A1,"Teas, Coffee, and Milk-Based Beverages",Breakfast,A
GINGER TEA WITHOUT SUGAR,100ML,2,0,Veg,A1,"Teas, Coffee, and Milk-Based Beverages",Breakfast,A
GREEN TEA,200ML,0,0,Veg,A1,"Teas, Coffee, and Milk-Based Beverages",Breakfast,A
HERBAL TEA,200ML,0,0,Veg,A1,"Teas, Coffee, and Milk-Based Beverages",Breakfast,A
JEENA WATER,250ML,0,0,Veg,A1,"Teas, Coffee, and Milk-Based Beverages",Breakfast,A
LEMON TEA,200ML,0,0,Veg,A1,"Teas, Coffee, and Milk-Based Beverages",Breakfast,A
LEMONGRASS WATER,250ML,0,0,Veg,A1,"Teas, Coffee, and Milk-Based Beverages",Breakfast,A
SAUNF WATER,250ML,0,0,Veg,A1,"Teas, Coffee, and Milk-Based Beverages",Breakfast,A
SKIM MILK COFFEE AND STEVIA,100ML,35,3,Veg,A1,"Teas, Coffee, and Milk-Based Beverages",Breakfast,A
TEA WITHOUT SUGAR,100ML,62,2.1,Veg,A1,"Teas, Coffee, and Milk-Based Beverages",Breakfast,A
TEJ PAPTA+SAUNF+CLOVE WATER,250ML,0,0,Veg,A1,"Teas, Coffee, and Milk-Based Beverages",Breakfast,A
TULSI+GINGER+SAUNF,250ML,0,0,Veg,A1,"Teas, Coffee, and Milk-Based Beverages",Breakfast,A
TURMERIC WATER,250ML,0,0,Veg,A1,"Teas, Coffee, and Milk-Based Beverages",Breakfast,A
WHEATGRASS WATER,250ML,0,0,Veg,A1,"Teas, Coffee, and Milk-Based Beverages",Breakfast,A
YUGURT,200ML,59,10,Veg,A1,"Teas, Coffee, and Milk-Based Beverages",Breakfast,A
AJWAIN KACHORI,30g,154,2.7,Veg,A2,Indian Breakfast and Snack Items,Breakfast,A
BAATI CHOKHA,100g,330,7.5,Veg,A2,Indian Breakfast and Snack Items,Breakfast,A
BESAN CHILLA,30g,86,5.6,Veg,A2,Indian Breakfast and Snack Items,Breakfast,A
BESAN ROTI,30g,86,5.7,Veg,A2,Indian Breakfast and Snack Items,Breakfast,A
BOILED CHHOLE,100g,53,2.1,Veg,A2,Indian Breakfast and Snack Items,Breakfast,A
BOILED EGG WITH TOASTED BREAD,100g  ,199,8.8,Non_Veg,A2,Indian Breakfast and Snack Items,Breakfast,A
BOILED MOONG,100g,72,5.2,Veg,A2,Indian Breakfast and Snack Items,Breakfast,A
BOILED RAJMA,100g,127,8.7,Veg,A2,Indian Breakfast and Snack Items,Breakfast,A
BOILED SOYABEAN ,100g,85,6,Veg,A2,Indian Breakfast and Snack Items,Breakfast,A
BREAD BUTTER ,30g,126,3.6,Veg,A2,Indian Breakfast and Snack Items,Breakfast,A
BREAD OMLETTE,220g,355,18.74,Non_Veg,A2,Indian Breakfast and Snack Items,Breakfast,A
DAL KACHORI,30g,169,4,Veg,A2,Indian Breakfast and Snack Items,Breakfast,A
EGG WHITE OMLETE ,35g,35,4,Non_Veg,A2,Indian Breakfast and Snack Items,Breakfast,A
HALF FRY EGG WITH TOASTED BREAD,100g,199,8.8,Non_Veg,A2,Indian Breakfast and Snack Items,Breakfast,A
JAU DALIYA PORRIDGE,100g,115,2.6,Veg,A2,Indian Breakfast and Snack Items,Breakfast,A
MASALA OATS,30g,120,3.39,Veg,A2,Indian Breakfast and Snack Items,Breakfast,A
MIX DAL CHIILA ,30g,53,3,Veg,A2,Indian Breakfast and Snack Items,Breakfast,A
MOONG DAL CHILA,30g,88,6.7,Veg,A2,Indian Breakfast and Snack Items,Breakfast,A
NAMKEEN VEG DALIYA,30g,102,3.25,Veg,A2,Indian Breakfast and Snack Items,Breakfast,A
OATS DOSA,150g,71,2.21,Veg,A2,Indian Breakfast and Snack Items,Breakfast,A
OATS PORRIDGE,100g,372,14,Veg,A2,Indian Breakfast and Snack Items,Breakfast,A
OMLETTE WITH TOASTED BREAD,100g,189,9,Non_Veg,A2,Indian Breakfast and Snack Items,Breakfast,A
ONION DOSA,150g,191,4.6,Veg,A2,Indian Breakfast and Snack Items,Breakfast,A
PALAK MOONG DAL CHEELA,100g,144,7.8,Veg,A2,Indian Breakfast and Snack Items,Breakfast,A
PANEER STUFF DOSA,150g,174,7,Veg,A2,Indian Breakfast and Snack Items,Breakfast,A
PANEER STUFF ROTI,30g,5.58,5.58,Veg,A2,Indian Breakfast and Snack Items,Breakfast,A
POHA,30g,136,2.24,Veg,A2,Indian Breakfast and Snack Items,Breakfast,A
RAGI CHEELA,30g,68,1.9,Veg,A2,Indian Breakfast and Snack Items,Breakfast,A
RAGI DOSA,150g,137,3.95,Veg,A2,Indian Breakfast and Snack Items,Breakfast,A
RAWA/BESAN CHILLA,30g,93,4,Veg,A2,Indian Breakfast and Snack Items,Breakfast,A
SPROUT CHAAT,100g,293.7,22.53,Veg,A2,Indian Breakfast and Snack Items,Breakfast,A
SUJI PORRIDGE,100g,100.89,3.75,Veg,A2,Indian Breakfast and Snack Items,Breakfast,A
URAD DAL KACHORI,30g,112,4,Veg,A2,Indian Breakfast and Snack Items,Breakfast,A
VEGETABLE IDLE,50(2 PIECES),167,5.6,Veg,A2,Indian Breakfast and Snack Items,Breakfast,A
VEGETABLE OATS,30g,113.7,3.9,Veg,A2,Indian Breakfast and Snack Items,Breakfast,A
VEGETABLE STUFF DOSA,150g,101,3.1,Veg,A2,Indian Breakfast and Snack Items,Breakfast,A
WHEAT FLAKES PORRIGE,100g,81.57,2.64,Veg,A2,Indian Breakfast and Snack Items,Breakfast,A
CUCUMBER SLICES WITH YOGURT DIP,30g,121,5.8,Veg,A3,Side Dishes and Spreads,Breakfast,A
SATTU DRINK,100ml,43,2.8,Veg,A3,Side Dishes and Spreads,Breakfast,A
BOILED CHANA,100g,378,8.9,Veg,B1,"snacks, soups, fruits, and smoothies",Mid Morning,B
DHOKLA,100g,60,2.8,Veg,B1,"snacks, soups, fruits, and smoothies",Mid Morning,B
MENDU VADE,100g,185,8,Veg,B1,"snacks, soups, fruits, and smoothies",Mid Morning,B
OATS IDLI,100g,395,10,Veg,B1,"snacks, soups, fruits, and smoothies",Mid Morning,B
PANEER SANDWICH,100g,342,12.6,Veg,B1,"snacks, soups, fruits, and smoothies",Mid Morning,B
RAGI IDLI,100g,62,1,Veg,B1,"snacks, soups, fruits, and smoothies",Mid Morning,B
RAJMA KABULI CHANA TIKKI,100g,304,11.74,Veg,B1,"snacks, soups, fruits, and smoothies",Mid Morning,B
RAMDANA TIKKI,100g,87,5,Veg,B1,"snacks, soups, fruits, and smoothies",Mid Morning,B
SPROUTE CHANA,100g,165,9,Veg,B1,"snacks, soups, fruits, and smoothies",Mid Morning,B
SPROUTE MOONG,100g,64,3.4,Veg,B1,"snacks, soups, fruits, and smoothies",Mid Morning,B
SUJI IDLI,100g,74,2.4,Veg,B1,"snacks, soups, fruits, and smoothies",Mid Morning,B
UTTAPAM,100g,172,3,Veg,B1,"snacks, soups, fruits, and smoothies",Mid Morning,B
