Name,Quantities,Kcal,Protein Content (g),Veg/Non_Veg,subcode,Sub_Type,Type,Code
Greek Salad,1 Bowl (200 g),120,3.5,Veg,S1,Fresh Salads,Lunch,S
Caesar Salad (Vegetarian),1 Bowl (220 g),150,4.2,Veg,S2,Fresh Salads,Lunch,S
Kale and Quinoa Salad,1 Bowl (250 g),200,8.1,Veg,S3,Superfood Salads,Dinner,S
Spinach and Strawberry Salad,1 Plate (200 g),140,2.8,Veg,S4,Fruity Salads,Lunch,S
Mixed Bean Salad,1 Bowl (240 g),220,10.5,Veg,S5,Protein Salads,Dinner,S
Caprese Salad,1 Plate (200 g),180,6,Veg,S6,Fresh Salads,Lunch,S
Asian Cabbage Slaw,1 Bowl (200 g),110,2,Veg,S7,Coleslaws and Slaws,Snacks,S
Avocado and Tomato Salad,1 Plate (200 g),160,3,Veg,S8,Fresh Salads,Lunch,S
Roasted Veggie Salad,1 Bowl (250 g),190,5.2,Veg,S9,Roasted Salads,Dinner,S
Mediterranean Lentil Salad,1 Bowl (230 g),240,12,Veg,S10,Protein Salads,Dinner,S
Chickpea and Cucumber Salad,1 Bowl (240 g),220,9.5,Veg,S11,Protein Salads,Lunch,S
Sweet Potato Salad,1 Bowl (250 g),210,3.6,Veg,S12,Root Vegetable Salads,Dinner,S
Tofu and Spinach Salad,1 Plate (220 g),200,14,Veg,S13,Protein Salads,Lunch,S
Zucchini Noodle Salad,1 Bowl (200 g),100,3,Veg,S14,Fresh Salads,Snacks,S
Watermelon and Feta Salad,1 Bowl (200 g),160,4,Veg,S15,Fruity Salads,Lunch,S
Broccoli and Cranberry Salad,1 Plate (200 g),190,6.8,Veg,S16,Superfood Salads,Lunch,S
Peach and Arugula Salad,1 Bowl (200 g),130,2.5,Veg,S17,Fruity Salads,Dinner,S
Pumpkin and Spinach Salad,1 Plate (220 g),180,5,Veg,S18,Root Vegetable Salads,Dinner,S
Apple and Walnut Salad,1 Bowl (200 g),150,2.8,Veg,S19,Fruity Salads,Lunch,S
Roasted Beetroot Salad,1 Plate (200 g),170,3.5,Veg,S20,Root Vegetable Salads,Lunch,S
Corn and Avocado Salad,1 Bowl (240 g),200,5,Veg,S21,Fresh Salads,Dinner,S
Mango and Spinach Salad,1 Plate (220 g),140,2.5,Veg,S22,Fruity Salads,Lunch,S
Edamame and Quinoa Salad,1 Bowl (240 g),230,11,Veg,S23,Protein Salads,Dinner,S
Carrot and Raisin Salad,1 Bowl (220 g),120,2,Veg,S24,Fruity Salads,Snacks,S
Mushroom and Kale Salad,1 Plate (220 g),190,7,Veg,S25,Superfood Salads,Dinner,S
Cauliflower Rice Salad,1 Bowl (240 g),160,4,Veg,S26,Superfood Salads,Lunch,S
Pomegranate and Spinach Salad,1 Plate (200 g),150,3,Veg,S27,Fruity Salads,Lunch,S
Mixed Greens Salad,1 Plate (200 g),100,2,Veg,S28,Fresh Salads,Snacks,S
Bulgur Wheat Salad,1 Bowl (250 g),200,6.5,Veg,S29,Grain Salads,Lunch,S
Wild Rice and Cranberry Salad,1 Plate (240 g),190,5,Veg,S30,Grain Salads,Dinner,S
Tabbouleh Salad,1 Bowl (220 g),150,3,Veg,S31,Grain Salads,Lunch,S
Barley and Veggie Salad,1 Plate (240 g),200,6,Veg,S32,Grain Salads,Dinner,S
Radish and Cucumber Salad,1 Bowl (200 g),110,2.5,Veg,S33,Fresh Salads,Lunch,S
Coleslaw (Light Dressing),1 Bowl (220 g),130,2,Veg,S34,Coleslaws and Slaws,Snacks,S
Asparagus and Orange Salad,1 Plate (200 g),140,2.5,Veg,S35,Fruity Salads,Dinner,S
Lentil and Feta Salad,1 Bowl (230 g),240,12.5,Veg,S36,Protein Salads,Lunch,S
Quinoa and Sweet Potato Salad,1 Plate (250 g),220,8,Veg,S37,Superfood Salads,Dinner,S
Grilled Peach Salad,1 Plate (200 g),150,3,Veg,S38,Fruity Salads,Lunch,S
Sun-Dried Tomato and Spinach Salad,1 Bowl (200 g),180,5,Veg,S39,Superfood Salads,Lunch,S
Roasted Carrot and Chickpea Salad,1 Plate (250 g),210,7.5,Veg,S40,Root Vegetable Salads,Dinner,S
Herb and Citrus Salad,1 Plate (200 g),120,2,Veg,S41,Fresh Salads,Snacks,S
Farro and Arugula Salad,1 Bowl (250 g),200,6.5,Veg,S42,Grain Salads,Dinner,S
Pear and Gorgonzola Salad,1 Plate (200 g),160,4,Veg,S43,Fruity Salads,Lunch,S
Fig and Goat Cheese Salad,1 Plate (220 g),170,4.5,Veg,S44,Fruity Salads,Dinner,S
Brown Rice and Veggie Salad,1 Plate (200 g),210,6,Veg,S45,Grain Salads,Lunch,S
Cucumber and Dill Salad,1 Bowl (240 g),100,2,Veg,S46,Fresh Salads,Lunch,S
Tomato and Basil Salad,1 Plate (220 g),120,3,Veg,S47,Fresh Salads,Lunch,S
Green Apple and Pecan Salad,1 Bowl (240 g),140,2.5,Veg,S48,Fruity Salads,Snacks,S
Vegetable Pasta Salad,1 Plate (220 g),220,7,Veg,S49,Grain Salads,Dinner,S
Cabbage and Carrot Slaw,1 Plate (220 g),130,2.5,Veg,S50,Coleslaws and Slaws,Snacks,S
