Name,Quantities,Kcal,Protein Content (g),Veg/Non_Veg,subcode,Sub_Type,Type,Code
AJWAIN WATER (अज्वेन वाटर),250ML,0,0,Veg,A1,"Teas, Coffee, and Milk-Based Beverages",Breakfast,A
AJWAIN+SAUNF WATER (अजवैन+सौनफ वाटर),250ML,0,0,Veg,A1,"Teas, Coffee, and Milk-Based Beverages",Breakfast,A
ALKALINE WATER (क्षारीय जल),250ML,10,0,Veg,A1,"Teas, Coffee, and Milk-Based Beverages",Breakfast,A
AMLA WATER (अमला वाटर),250ML,0,0,Veg,A1,"Teas, Coffee, and Milk-Based Beverages",Breakfast,A
APPLE CIDER  VINIGER (सेब का सिरका),300ML,0,0,Veg,A1,"Teas, Coffee, and Milk-Based Beverages",Breakfast,A
BARLEY WATER (बार्ली वॉटर),250ML,0,0,Veg,A1,"Teas, Coffee, and Milk-Based Beverages",Breakfast,A
BARLEY WATER (बार्ली वॉटर),300ML,0,0,Veg,A1,"Teas, Coffee, and Milk-Based Beverages",Breakfast,A
BLACK COFFEE  (ब्लैक कॉफ़ी),250ML,0,10,Veg,A1,"Teas, Coffee, and Milk-Based Beverages",Breakfast,A
BLACK MASALA TEA  (काली मसाला चाय),200ML,0,0,Veg,A1,"Teas, Coffee, and Milk-Based Beverages",Breakfast,A
BLACK TEA (काली चाय),200ML,0,0,Veg,A1,"Teas, Coffee, and Milk-Based Beverages",Breakfast,A
BUTTERMILK (छाछ),300ML,122,10,Veg,A1,"Teas, Coffee, and Milk-Based Beverages",Breakfast,A
CHIA SEED WATER (चिया सीड वाटर),300ML,25,0,Veg,A1,"Teas, Coffee, and Milk-Based Beverages",Breakfast,A
CLOVE+LEMON WATER (लौंग+नींबू का पानी),250ML,0,0,Veg,A1,"Teas, Coffee, and Milk-Based Beverages",Breakfast,A
COFFEE WITH SKIM MILK AND WITHOUT SUGAR (स्किम दूध के साथ और चीनी के बिना कॉफी),100ML,36,3.4,Veg,A1,"Teas, Coffee, and Milk-Based Beverages",Breakfast,A
CURD (दही),100ML,98,11,Veg,A1,"Teas, Coffee, and Milk-Based Beverages",Breakfast,A
DALCHINI WATER (डलचीनी वाटर),250ML,0,0,Veg,A1,"Teas, Coffee, and Milk-Based Beverages",Breakfast,A
DALCHINI+GINGER WATER (दलचिनी+अदरक का पानी),250ML,0,0,Veg,A1,"Teas, Coffee, and Milk-Based Beverages",Breakfast,A
DETOX WATER (डिटॉक्स वाटर),250ML,0,0,Veg,A1,"Teas, Coffee, and Milk-Based Beverages",Breakfast,A
ELAICHI WATER (इलिची वाटर),300ML,0,0,Veg,A1,"Teas, Coffee, and Milk-Based Beverages",Breakfast,A
FENUGREEK+ SAUNF WATER (मेथी+ सौनफ वाटर),250ML,0,20,Veg,A1,"Teas, Coffee, and Milk-Based Beverages",Breakfast,A
FLEXSEED WATER (फ्लेक्सिसेड वाटर),250ML,0,0,Veg,A1,"Teas, Coffee, and Milk-Based Beverages",Breakfast,A
GINGER TEA (अदरक की चाय),200ML,0,0,Veg,A1,"Teas, Coffee, and Milk-Based Beverages",Breakfast,A
GINGER TEA WITHOUT SUGAR (चीनी के बिना अदरक की चाय),100ML,2,0,Veg,A1,"Teas, Coffee, and Milk-Based Beverages",Breakfast,A
GREEN TEA (हरी चाय),200ML,0,0,Veg,A1,"Teas, Coffee, and Milk-Based Beverages",Breakfast,A
HERBAL TEA (हर्बल चाय),200ML,0,0,Veg,A1,"Teas, Coffee, and Milk-Based Beverages",Breakfast,A
JEENA WATER (जीना वाटर),250ML,0,0,Veg,A1,"Teas, Coffee, and Milk-Based Beverages",Breakfast,A
LEMON TEA (नीबू चाय),200ML,0,0,Veg,A1,"Teas, Coffee, and Milk-Based Beverages",Breakfast,A
LEMONGRASS WATER (लेमोंग्रास वाटर),250ML,0,0,Veg,A1,"Teas, Coffee, and Milk-Based Beverages",Breakfast,A
SAUNF WATER (सौनफ वाटर),250ML,0,0,Veg,A1,"Teas, Coffee, and Milk-Based Beverages",Breakfast,A
SKIM MILK COFFEE AND STEVIA (स्किम मिल्क कॉफी और स्टेविया),100ML,35,3,Veg,A1,"Teas, Coffee, and Milk-Based Beverages",Breakfast,A
TEA WITHOUT SUGAR (चीनी के बिना चाय),100ML,62,2.1,Veg,A1,"Teas, Coffee, and Milk-Based Beverages",Breakfast,A
TEJ PAPTA+SAUNF+CLOVE WATER (तेज पट्टा+सौनफ+लौंग पानी),250ML,0,0,Veg,A1,"Teas, Coffee, and Milk-Based Beverages",Breakfast,A
TULSI+GINGER+SAUNF (तुलसी+अदरक+सौनफ),250ML,0,0,Veg,A1,"Teas, Coffee, and Milk-Based Beverages",Breakfast,A
TURMERIC WATER (हल्दी पानी),250ML,0,0,Veg,A1,"Teas, Coffee, and Milk-Based Beverages",Breakfast,A
WHEATGRASS WATER (गेहूं का पानी),250ML,0,0,Veg,A1,"Teas, Coffee, and Milk-Based Beverages",Breakfast,A
YUGURT (दही),200ML,59,10,Veg,A1,"Teas, Coffee, and Milk-Based Beverages",Breakfast,A
AJWAIN KACHORI (अज्वेन कचोरी),30g,154,2.7,Veg,A2,Indian Breakfast and Snack Items,Breakfast,A
BAATI CHOKHA (बाटी चोखा),100g,330,7.5,Veg,A2,Indian Breakfast and Snack Items,Breakfast,A
BESAN CHILLA (बेसेन चीला),30g,86,5.6,Veg,A2,Indian Breakfast and Snack Items,Breakfast,A
BESAN ROTI (बेसन रोटी),30g,86,5.7,Veg,A2,Indian Breakfast and Snack Items,Breakfast,A
BOILED CHHOLE (उबला हुआ छोल),100g,53,2.1,Veg,A2,Indian Breakfast and Snack Items,Breakfast,A
BOILED EGG WITH TOASTED BREAD (टोस्टेड रोटी के साथ उबला हुआ अंडा),100g  ,199,8.8,Non_Veg,A2,Indian Breakfast and Snack Items,Breakfast,A
BOILED MOONG (उबला हुआ मूंग),100g,72,5.2,Veg,A2,Indian Breakfast and Snack Items,Breakfast,A
BOILED RAJMA (उबला हुआ राजमा),100g,127,8.7,Veg,A2,Indian Breakfast and Snack Items,Breakfast,A
BOILED SOYABEAN  (उबला हुआ सोयाबीन),100g,85,6,Veg,A2,Indian Breakfast and Snack Items,Breakfast,A
BREAD BUTTER  (ब्रेड बटर),30g,126,3.6,Veg,A2,Indian Breakfast and Snack Items,Breakfast,A
BREAD OMLETTE (ब्रेड ऑमलेट),220g,355,18.74,Non_Veg,A2,Indian Breakfast and Snack Items,Breakfast,A
